2540.0,3167.33333333,3466.888889,3780.0,4204.44444467,4272.33333333,4814.88888867,6288.666667,6628.22222233,5834.44444433,7157.111111,7593.22222233,8759.777779,9069.88888867,9997.55555567,10202.3333333,10981.5555543,10546.4444433,2515.33333333,3000.00000033,3282.22222233,3270.777778,3648.33333333,3603.33333333,3998.11111133,3864.99999967,4092.111111,4043.44444433,4534.66666667,4637.0,5090.888889,4950.22222233,5457.111111,6492.44444467,6108.55555567,6989.66666667,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333
,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,2540.0,3167.33333333,3466.888889,3780.0,4204.44444467,4272.33333333,4814.88888867,6288.666667,6628.22222233,5834.44444433,7157.111111,7593.22222233,8759.777779,9069.88888867,9997.55555567,10202.3333333,10981.5555543,10546.4444433

,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,2515.33333333,3000.00000033,3282.22222233,3270.777778,3648.33333333,3603.33333333,3998.11111133,3864.99999967,4092.111111,4043.44444433,4534.66666667,4637.0,5090.888889,4950.22222233,5457.111111,6492.44444467,6108.55555567,6989.66666667

,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333,14705.3333333











