1807.55555567,2325.33333333,3291.99999967,3731.33333333,3961.11111133,4303.66666667,4861.66666667,5298.22222233,6409.66666667,7276.55555567,7801.11111233,9279.11111233,9294.11111,10069.11111,11315.7777777,12036.5555557,12581.3333333,13593.1111133,1729.55555567,2052.66666667,2664.66666667,3107.44444467,3291.66666667,3355.66666667,3731.777778,3776.33333333,3939.66666667,4183.99999967,4501.55555567,4859.0,4938.55555567,4925.333333,5959.44444467,6735.77777767,7219.777778,7316.44444433,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367
,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,1807.55555567,2325.33333333,3291.99999967,3731.33333333,3961.11111133,4303.66666667,4861.66666667,5298.22222233,6409.66666667,7276.55555567,7801.11111233,9279.11111233,9294.11111,10069.11111,11315.7777777,12036.5555557,12581.3333333,13593.1111133

,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,1729.55555567,2052.66666667,2664.66666667,3107.44444467,3291.66666667,3355.66666667,3731.777778,3776.33333333,3939.66666667,4183.99999967,4501.55555567,4859.0,4938.55555567,4925.333333,5959.44444467,6735.77777767,7219.777778,7316.44444433

,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367,19247.3333367











