1.06709742267,1.17097885433,1.30122315733,1.34095692367,1.36805808667,1.444751369,1.50569990767,1.504529253,1.59693472367,1.681233385,1.664927983,1.649747796,1.78652118,1.79241537833,1.75723469067,1.77962134767,1.76503693133,1.85751535533,1.07995348733,1.14252284133,1.26945855767,1.31696070867,1.31152353867,1.33657233667,1.38744648367,1.35124004333,1.42633097967,1.415272399,1.48157464967,1.55739611933,1.51985665133,1.57752088933,1.62763247833,1.65022466533,1.703616041,1.70804394167,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908
,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,1.06709742267,1.17097885433,1.30122315733,1.34095692367,1.36805808667,1.444751369,1.50569990767,1.504529253,1.59693472367,1.681233385,1.664927983,1.649747796,1.78652118,1.79241537833,1.75723469067,1.77962134767,1.76503693133,1.85751535533

,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,1.07995348733,1.14252284133,1.26945855767,1.31696070867,1.31152353867,1.33657233667,1.38744648367,1.35124004333,1.42633097967,1.415272399,1.48157464967,1.55739611933,1.51985665133,1.57752088933,1.62763247833,1.65022466533,1.703616041,1.70804394167

,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908,1.888858908











